# Event types
# new_app <appname> <templatefilename>
# remove_app <appname>
# data_source <nodenum> <appname> <componentname> <datarate>

events:
new_app app1 templates/template_streaming_08.txt
data_source 0 app1 A08 10
data_source 4 app1 B08 20
data_source 8 app1 C08 30
data_source 12 app1 D08 40
data_source 16 app1 E08 50
data_source 0 app1 A08 100
data_source 4 app1 B08 200
data_source 8 app1 C08 300
data_source 12 app1 D08 400
data_source 16 app1 E08 500
data_source 0 app1 A08 1000
data_source 4 app1 B08 2000
data_source 8 app1 C08 4000
data_source 12 app1 D08 6000
data_source 16 app1 E08 8000
data_source 0 app1 A08 9000
data_source 4 app1 B08 9000
data_source 8 app1 C08 9000
data_source 12 app1 D08 9000
data_source 16 app1 E08 9000
new_app app2 templates/template_streaming_08_1.txt
data_source 1 app2 A081 9000
data_source 5 app2 B081 9000
data_source 9 app2 C081 9000
data_source 13 app2 D081 9000
data_source 17 app2 E081 9000
data_source 1 app2 A081 8000
data_source 5 app2 B081 6000
data_source 9 app2 C081 4000
data_source 13 app2 D081 2000
data_source 17 app2 E081 1000
data_source 1 app2 A081 500
data_source 5 app2 B081 400
data_source 9 app2 C081 300
data_source 13 app2 D081 200
data_source 17 app2 E081 100
data_source 1 app2 A081 50
data_source 5 app2 B081 40
data_source 9 app2 C081 30
data_source 13 app2 D081 20
data_source 17 app2 E081 10
remove_app app1
remove_app app2
eof
